"","sim","thresh_method","thresh_mean","thresh_n","thresh_n_full","thresh_se","sig_type","ci_n_up","ci_n_low","ci_em_up","ci_em_low","thresh_diff","obs_error","ts_length","thresh_quant","cov_sd","shape","best_mod","aic_diff"
"54",18,"abs_max_d2",-1.28,3,0,0,"sim_int",-1.28,-1.28,-1.28,-1.28,-0.637943394566714,0.55,25,0.25,0,"skew","lm_ns",-0.269644659753169
"55",19,"abs_max_d2",-0.607727272727273,22,1,0.0155610394668482,"none",-0.577228195810244,-0.638226349644301,-0.50525,-0.747,0.0343293327060131,0.55,25,0.25,0,"skew","lm_ns",-0.0533032193315393
"56",19,"abs_max_d2",NA,0,NA,NA,"jack_quant",NA,NA,NA,NA,NA,0.55,25,0.25,0,"skew","lm_ns",-0.0533032193315393
"57",19,"abs_max_d2",NA,0,0,NA,"sim_int",NA,NA,NA,NA,NA,0.55,25,0.25,0,"skew","lm_ns",-0.0533032193315393
"58",20,"abs_max_d2",NA,0,0,NA,"none",NA,NA,NA,NA,NA,0.55,25,0.25,0,"skew","lm_ns",-1.81955783773446e-10
"59",20,"abs_max_d2",NA,0,NA,NA,"jack_quant",NA,NA,NA,NA,NA,0.55,25,0.25,0,"skew","lm_ns",-1.81955783773446e-10
"60",20,"abs_max_d2",NA,0,0,NA,"sim_int",NA,NA,NA,NA,NA,0.55,25,0.25,0,"skew","lm_ns",-1.81955783773446e-10
"61",21,"abs_max_d2",NA,0,0,NA,"none",NA,NA,NA,NA,NA,0.55,25,0.25,0,"skew","lm_ns",-1.43359102366958e-10
"62",21,"abs_max_d2",NA,0,NA,NA,"jack_quant",NA,NA,NA,NA,NA,0.55,25,0.25,0,"skew","lm_ns",-1.43359102366958e-10
"63",21,"abs_max_d2",NA,0,0,NA,"sim_int",NA,NA,NA,NA,NA,0.55,25,0.25,0,"skew","lm_ns",-1.43359102366958e-10
"64",22,"abs_max_d2",-0.2932,25,1,0.0253086502559457,"none",-0.243595957001026,-0.342804042998974,-0.0739999999999999,-0.524,0.348856605433286,0.55,25,0.25,0,"skew","gam",4.38646489788185
"65",22,"abs_max_d2",-0.2932,25,NA,0.0253086502559457,"jack_quant",-0.243595957001026,-0.342804042998974,-0.0739999999999999,-0.524,0.348856605433286,0.55,25,0.25,0,"skew","gam",4.38646489788185
"66",22,"abs_max_d2",-0.291428571428571,21,1,0.0195228803495503,"sim_int",-0.253164429068968,-0.329692713788175,-0.115,-0.435,0.350628034004714,0.55,25,0.25,0,"skew","gam",4.38646489788185
"67",23,"abs_max_d2",-0.468695652173913,23,1,0.0220845889558674,"none",-0.425410653207042,-0.511980651140784,-0.318,-0.6705,0.173360953259373,0.55,25,0.25,0,"skew","gam",18.9261078791197
