"","sim","thresh_method","thresh_mean","thresh_n","thresh_n_full","thresh_se","sig_type","ci_n_up","ci_n_low","ci_em_up","ci_em_low","thresh_diff","obs_error","ts_length","thresh_quant","cov_sd","shape","best_mod","aic_diff"
"40",14,"abs_max_d2",0.2064,25,1,0.0306462794551711,"none",0.266465603992285,0.146334396007715,0.29,-0.0919999999999998,0.848456605433286,0.0275,25,0.25,1,"skew","gam_ns",1.07304524974934
"41",14,"abs_max_d2",0.2064,25,NA,0.0306462794551711,"jack_quant",0.266465603992285,0.146334396007715,0.29,-0.0919999999999998,0.848456605433286,0.0275,25,0.25,1,"skew","gam_ns",1.07304524974934
"42",14,"abs_max_d2",NA,0,0,NA,"sim_int",NA,NA,NA,NA,NA,0.0275,25,0.25,1,"skew","gam_ns",1.07304524974934
"43",15,"abs_max_d2",-0.64375,24,1,0.0283431077695094,"none",-0.588198529561824,-0.699301470438176,-0.50575,-0.947,-0.00169339456671413,0.0275,25,0.25,1,"skew","gam_ns",1.92460225691536
"44",15,"abs_max_d2",-0.64375,24,NA,0.0283431077695094,"jack_quant",-0.588198529561824,-0.699301470438176,-0.50575,-0.947,-0.00169339456671413,0.0275,25,0.25,1,"skew","gam_ns",1.92460225691536
"45",15,"abs_max_d2",NA,0,0,NA,"sim_int",NA,NA,NA,NA,NA,0.0275,25,0.25,1,"skew","gam_ns",1.92460225691536
"46",16,"abs_max_d2",NA,0,0,NA,"none",NA,NA,NA,NA,NA,0.0275,25,0.25,1,"skew","lm_ns",-1.19541709864279e-10
"47",16,"abs_max_d2",NA,0,NA,NA,"jack_quant",NA,NA,NA,NA,NA,0.0275,25,0.25,1,"skew","lm_ns",-1.19541709864279e-10
"48",16,"abs_max_d2",NA,0,0,NA,"sim_int",NA,NA,NA,NA,NA,0.0275,25,0.25,1,"skew","lm_ns",-1.19541709864279e-10
"49",17,"abs_max_d2",0.3664,25,1,0.0193459010875402,"none",0.404317269380053,0.328482730619947,0.418,0.14,1.00845660543329,0.0275,25,0.25,1,"skew","gam_ns",1.97087282627403
"50",17,"abs_max_d2",0.3664,25,NA,0.0193459010875402,"jack_quant",0.404317269380053,0.328482730619947,0.418,0.14,1.00845660543329,0.0275,25,0.25,1,"skew","gam_ns",1.97087282627403
"51",17,"abs_max_d2",NA,0,0,NA,"sim_int",NA,NA,NA,NA,NA,0.0275,25,0.25,1,"skew","gam_ns",1.97087282627403
"52",18,"abs_max_d2",0.0832000000000001,25,1,0.00744703520424962,"none",0.0977959207919312,0.0686040792080689,0.144,0.00600000000000023,0.725256605433286,0.0275,25,0.25,1,"skew","gam",6.07556687755245
"53",18,"abs_max_d2",0.0832000000000001,25,NA,0.00744703520424962,"jack_quant",0.0977959207919312,0.0686040792080689,0.144,0.00600000000000023,0.725256605433286,0.0275,25,0.25,1,"skew","gam",6.07556687755245
"54",18,"abs_max_d2",0.0850000000000002,2,0,NA,"sim_int",NA,NA,0.0992500000000001,0.0707500000000003,0.727056605433286,0.0275,25,0.25,1,"skew","gam",6.07556687755245
"55",19,"abs_max_d2",-0.1092,25,1,0.0264438608712453,"none",-0.0573709850801711,-0.161029014919829,0.084,-0.328,0.532856605433286,0.0275,25,0.25,1,"skew","gam",5.03542071591164
"56",19,"abs_max_d2",-0.1092,25,NA,0.0264438608712453,"jack_quant",-0.0573709850801711,-0.161029014919829,0.084,-0.328,0.532856605433286,0.0275,25,0.25,1,"skew","gam",5.03542071591164
"57",19,"abs_max_d2",-0.0891304347826086,23,1,0.0236530801331329,"sim_int",-0.0427712495982283,-0.135489619966989,0.0845,-0.2435,0.552926170650677,0.0275,25,0.25,1,"skew","gam",5.03542071591164
"58",20,"abs_max_d2",0.54,3,0,0.0612372435695794,"none",0.660022791908883,0.419977208091117,0.6325,0.49,1.18205660543329,0.0275,25,0.25,1,"skew","lm_ns",-1.58024704433046e-11
"59",20,"abs_max_d2",NA,0,NA,NA,"jack_quant",NA,NA,NA,NA,NA,0.0275,25,0.25,1,"skew","lm_ns",-1.58024704433046e-11
"60",20,"abs_max_d2",NA,0,0,NA,"sim_int",NA,NA,NA,NA,NA,0.0275,25,0.25,1,"skew","lm_ns",-1.58024704433046e-11
"61",21,"abs_max_d2",-0.11,1,0,NA,"none",NA,NA,NA,NA,0.532056605433286,0.0275,25,0.25,1,"skew","lm_ns",-4.64694949187106e-11
"62",21,"abs_max_d2",NA,0,NA,NA,"jack_quant",NA,NA,NA,NA,NA,0.0275,25,0.25,1,"skew","lm_ns",-4.64694949187106e-11
"63",21,"abs_max_d2",NA,0,0,NA,"sim_int",NA,NA,NA,NA,NA,0.0275,25,0.25,1,"skew","lm_ns",-4.64694949187106e-11
"64",22,"abs_max_d2",-0.544,25,1,0.0417997873466148,"none",-0.462073922239202,-0.625926077760798,-0.184,-0.784,0.0980566054332859,0.0275,25,0.25,1,"skew","gam",4.91099003800947
"65",22,"abs_max_d2",-0.544,25,NA,0.0417997873466148,"jack_quant",-0.462073922239202,-0.625926077760798,-0.184,-0.784,0.0980566054332859,0.0275,25,0.25,1,"skew","gam",4.91099003800947
"66",22,"abs_max_d2",-0.433,10,0,0.04430673108855,"sim_int",-0.346160402793741,-0.519839597206259,-0.3335,-0.72475,0.209056605433286,0.0275,25,0.25,1,"skew","gam",4.91099003800947
"67",23,"abs_max_d2",0.1556,25,1,0.0203278681179858,"none",0.195441889393732,0.115758110606268,0.322,-0.0319999999999999,0.797656605433286,0.0275,25,0.25,1,"skew","gam",2.89330934201674
"68",23,"abs_max_d2",0.1556,25,NA,0.0203278681179858,"jack_quant",0.195441889393732,0.115758110606268,0.322,-0.0319999999999999,0.797656605433286,0.0275,25,0.25,1,"skew","gam",2.89330934201674
"69",23,"abs_max_d2",0.02,1,0,NA,"sim_int",NA,NA,NA,NA,0.662056605433286,0.0275,25,0.25,1,"skew","gam",2.89330934201674
"70",24,"abs_max_d2",-0.343333333333333,3,0,0.259454556072285,"none",0.165188252193174,-0.85185491885984,0.0490000000000002,-0.5685,0.298723272099953,0.0275,25,0.25,1,"skew","lm_ns",-4.46220838057343e-11
"71",24,"abs_max_d2",NA,0,NA,NA,"jack_quant",NA,NA,NA,NA,NA,0.0275,25,0.25,1,"skew","lm_ns",-4.46220838057343e-11
"72",24,"abs_max_d2",-0.57,1,0,NA,"sim_int",NA,NA,NA,NA,0.072056605433286,0.0275,25,0.25,1,"skew","lm_ns",-4.46220838057343e-11
"73",25,"abs_max_d2",-0.664782608695652,23,1,0.0153992267329931,"none",-0.634600678909219,-0.694964538482085,-0.524,-0.7745,-0.0227260032623664,0.0275,25,0.25,1,"skew","gam",5.35083636571802
"74",25,"abs_max_d2",-0.664782608695652,23,NA,0.0153992267329931,"jack_quant",-0.634600678909219,-0.694964538482085,-0.524,-0.7745,-0.0227260032623664,0.0275,25,0.25,1,"skew","gam",5.35083636571802
"75",25,"abs_max_d2",-0.664782608695652,23,1,0.0153992267329931,"sim_int",-0.634600678909219,-0.694964538482085,-0.524,-0.7745,-0.0227260032623664,0.0275,25,0.25,1,"skew","gam",5.35083636571802
"76",26,"abs_max_d2",-0.00319999999999991,25,1,0.0293489541740606,"none",0.0543228931650754,-0.0607228931650752,0.312,-0.25,0.638856605433286,0.0275,25,0.25,1,"skew","gam",3.37915354102033
"77",26,"abs_max_d2",-0.00319999999999991,25,NA,0.0293489541740606,"jack_quant",0.0543228931650754,-0.0607228931650752,0.312,-0.25,0.638856605433286,0.0275,25,0.25,1,"skew","gam",3.37915354102033
"78",26,"abs_max_d2",0.0350000000000001,4,0,0.0100000000000001,"sim_int",0.0545996398454008,0.0154003601545994,0.0500000000000003,0.02,0.677056605433286,0.0275,25,0.25,1,"skew","gam",3.37915354102033
"79",27,"abs_max_d2",-0.86,12,1,0.0171526929673757,"none",-0.82638133954607,-0.89361866045393,-0.73575,-0.90725,-0.217943394566714,0.0275,25,0.25,1,"skew","gam_ns",0.630953627338755
"80",27,"abs_max_d2",NA,0,NA,NA,"jack_quant",NA,NA,NA,NA,NA,0.0275,25,0.25,1,"skew","gam_ns",0.630953627338755
"81",27,"abs_max_d2",NA,0,0,NA,"sim_int",NA,NA,NA,NA,NA,0.0275,25,0.25,1,"skew","gam_ns",0.630953627338755
"82",28,"abs_max_d2",0.0925,4,0,0.101146208804658,"none",0.290742926429899,-0.105742926429899,0.2625,-0.12425,0.734556605433286,0.0275,25,0.25,1,"skew","gam_ns",2.06483719011885e-11
"83",28,"abs_max_d2",NA,0,NA,NA,"jack_quant",NA,NA,NA,NA,NA,0.0275,25,0.25,1,"skew","gam_ns",2.06483719011885e-11
"84",28,"abs_max_d2",NA,0,0,NA,"sim_int",NA,NA,NA,NA,NA,0.0275,25,0.25,1,"skew","gam_ns",2.06483719011885e-11
"85",29,"abs_max_d2",NA,0,0,NA,"none",NA,NA,NA,NA,NA,0.0275,25,0.25,1,"skew","lm_ns",-1.03085540104075e-10
"86",29,"abs_max_d2",NA,0,NA,NA,"jack_quant",NA,NA,NA,NA,NA,0.0275,25,0.25,1,"skew","lm_ns",-1.03085540104075e-10
"87",29,"abs_max_d2",NA,0,0,NA,"sim_int",NA,NA,NA,NA,NA,0.0275,25,0.25,1,"skew","lm_ns",-1.03085540104075e-10
"88",30,"abs_max_d2",-0.11,1,0,NA,"none",NA,NA,NA,NA,0.532056605433286,0.0275,25,0.25,1,"skew","lm_ns",-6.74305056236335e-11
"89",30,"abs_max_d2",NA,0,NA,NA,"jack_quant",NA,NA,NA,NA,NA,0.0275,25,0.25,1,"skew","lm_ns",-6.74305056236335e-11
"90",30,"abs_max_d2",NA,0,0,NA,"sim_int",NA,NA,NA,NA,NA,0.0275,25,0.25,1,"skew","lm_ns",-6.74305056236335e-11
"91",31,"abs_max_d2",-0.5928,25,1,0.014123955221931,"none",-0.565117556445759,-0.620482443554241,-0.446,-0.698,0.0492566054332858,0.0275,25,0.25,1,"skew","gam",5.4846025647708
"92",31,"abs_max_d2",-0.5928,25,NA,0.014123955221931,"jack_quant",-0.565117556445759,-0.620482443554241,-0.446,-0.698,0.0492566054332858,0.0275,25,0.25,1,"skew","gam",5.4846025647708
