"","sim","thresh_method","thresh_mean","thresh_n","thresh_n_full","thresh_se","sig_type","ci_n_up","ci_n_low","ci_em_up","ci_em_low","thresh_diff","obs_error","ts_length","thresh_quant","cov_sd","shape","best_mod","aic_diff"
"1305",35,"abs_max_d2",0.783636363636364,33,1,0.00871441628202163,"sim_int",0.800716305695416,0.766556421577312,0.822,0.712,0.095787003908136,0.014,33,0.754,0,"hockeystick","gam",62.8496083276832
"1306",36,"abs_max_d2",0.0800000000000001,33,1,0.0121513888095147,"none",0.103816284428792,0.0561837155712081,0.232000000000001,1.80411241501588e-16,-0.607849359728228,0.014,33,0.754,0,"hockeystick","gam",82.5727867710309
"1307",36,"abs_max_d2",0.0800000000000001,33,NA,0.0121513888095147,"jack_quant",0.103816284428792,0.0561837155712081,0.232000000000001,1.80411241501588e-16,-0.607849359728228,0.014,33,0.754,0,"hockeystick","gam",82.5727867710309
"1308",36,"abs_max_d2",0.0800000000000001,33,1,0.0121513888095147,"sim_int",0.103816284428792,0.0561837155712081,0.232000000000001,1.80411241501588e-16,-0.607849359728228,0.014,33,0.754,0,"hockeystick","gam",82.5727867710309
"1309",37,"abs_max_d2",0.775151515151515,33,1,0.00971388757102038,"none",0.794190384940586,0.756112645362444,0.814,0.69,0.0873021554232876,0.014,33,0.754,0,"hockeystick","gam",97.9995181993694
"1310",37,"abs_max_d2",0.775151515151515,33,NA,0.00971388757102038,"jack_quant",0.794190384940586,0.756112645362444,0.814,0.69,0.0873021554232876,0.014,33,0.754,0,"hockeystick","gam",97.9995181993694
"1311",37,"abs_max_d2",0.775151515151515,33,1,0.00971388757102038,"sim_int",0.794190384940586,0.756112645362444,0.814,0.69,0.0873021554232876,0.014,33,0.754,0,"hockeystick","gam",97.9995181993694
"1312",38,"abs_max_d2",0.143636363636364,33,1,0.00814682383732235,"none",0.159603844945908,0.127668882326819,0.226,0.11,-0.544212996091864,0.014,33,0.754,0,"hockeystick","gam",83.6181454632498
"1313",38,"abs_max_d2",0.143636363636364,33,NA,0.00814682383732235,"jack_quant",0.159603844945908,0.127668882326819,0.226,0.11,-0.544212996091864,0.014,33,0.754,0,"hockeystick","gam",83.6181454632498
"1314",38,"abs_max_d2",0.143636363636364,33,1,0.00814682383732235,"sim_int",0.159603844945908,0.127668882326819,0.226,0.11,-0.544212996091864,0.014,33,0.754,0,"hockeystick","gam",83.6181454632498
"1315",39,"abs_max_d2",0.781818181818182,33,1,0.00406140719567626,"none",0.789778393648259,0.773857969988105,0.83,0.738,0.0939688220899543,0.014,33,0.754,0,"hockeystick","gam",46.9599855594712
"1316",39,"abs_max_d2",0.781818181818182,33,NA,0.00406140719567626,"jack_quant",0.789778393648259,0.773857969988105,0.83,0.738,0.0939688220899543,0.014,33,0.754,0,"hockeystick","gam",46.9599855594712
"1317",39,"abs_max_d2",0.781818181818182,33,1,0.00406140719567626,"sim_int",0.789778393648259,0.773857969988105,0.83,0.738,0.0939688220899543,0.014,33,0.754,0,"hockeystick","gam",46.9599855594712
"1318",40,"abs_max_d2",1.01,33,1,0.0113278556002449,"none",1.03220218899855,0.98779781100145,1.042,0.916,0.322150640271773,0.014,33,0.754,0,"hockeystick","gam",75.8196020018983
"1319",40,"abs_max_d2",1.01,33,NA,0.0113278556002449,"jack_quant",1.03220218899855,0.98779781100145,1.042,0.916,0.322150640271773,0.014,33,0.754,0,"hockeystick","gam",75.8196020018983
"1320",40,"abs_max_d2",1.01,33,1,0.0113278556002449,"sim_int",1.03220218899855,0.98779781100145,1.042,0.916,0.322150640271773,0.014,33,0.754,0,"hockeystick","gam",75.8196020018983
"1321",41,"abs_max_d2",0.657575757575758,33,1,0.00480133247761557,"none",0.666986196309687,0.648165318841829,0.68,0.596,-0.0302736021524701,0.014,33,0.754,0,"hockeystick","gam",81.1108761956896
