"","sim","thresh_method","thresh_mean","thresh_n","thresh_n_full","thresh_se","sig_type","ci_n_up","ci_n_low","ci_em_up","ci_em_low","thresh_diff","obs_error","ts_length","thresh_quant","cov_sd","next_mod","shape","best_mod","aic_diff"
"1476",92,"abs_max_d2",-0.4812,25,1,0.0974435734155927,"sim_int",-0.290214105580554,-0.672185894419446,1.078,-0.71,0.160856605433286,0.0275,25,0.25,0.5,"gam_DC","skew","gam_DCl",1.25546101980419
"1477",93,"abs_max_d2",-0.5504,25,1,0.00715599981367617,"none",-0.536374498091819,-0.564425501908181,-0.486,-0.602,0.0916566054332859,0.0275,25,0.25,0.5,"gam_DC","skew","gam_DCl",0.000181898403333491
"1478",93,"abs_max_d2",-0.5504,25,NA,0.00715599981367617,"jack_quant",-0.536374498091819,-0.564425501908181,-0.486,-0.602,0.0916566054332859,0.0275,25,0.25,0.5,"gam_DC","skew","gam_DCl",0.000181898403333491
"1479",93,"abs_max_d2",-0.5504,25,1,0.00715599981367617,"sim_int",-0.536374498091819,-0.564425501908181,-0.486,-0.602,0.0916566054332859,0.0275,25,0.25,0.5,"gam_DC","skew","gam_DCl",0.000181898403333491
"1480",94,"abs_max_d2",-0.6176,25,1,0.00329561998888087,"none",-0.611140703515063,-0.624059296484937,-0.586,-0.65,0.0244566054332858,0.0275,25,0.25,0.5,"gam_DC","skew","gam_DCl",0.181229001730884
"1481",94,"abs_max_d2",-0.6176,25,NA,0.00329561998888087,"jack_quant",-0.611140703515063,-0.624059296484937,-0.586,-0.65,0.0244566054332858,0.0275,25,0.25,0.5,"gam_DC","skew","gam_DCl",0.181229001730884
"1482",94,"abs_max_d2",-0.6176,25,1,0.00329561998888087,"sim_int",-0.611140703515063,-0.624059296484937,-0.586,-0.65,0.0244566054332858,0.0275,25,0.25,0.5,"gam_DC","skew","gam_DCl",0.181229001730884
"1483",95,"abs_max_d2",-0.8244,25,1,0.0104263288521576,"none",-0.8039647709588,-0.8448352290412,-0.714,-0.904,-0.182343394566714,0.0275,25,0.25,0.5,"gam_DC","skew","gam_DCl",0.000459503370151992
"1484",95,"abs_max_d2",-0.8244,25,NA,0.0104263288521576,"jack_quant",-0.8039647709588,-0.8448352290412,-0.714,-0.904,-0.182343394566714,0.0275,25,0.25,0.5,"gam_DC","skew","gam_DCl",0.000459503370151992
"1485",95,"abs_max_d2",-0.8244,25,1,0.0104263288521576,"sim_int",-0.8039647709588,-0.8448352290412,-0.714,-0.904,-0.182343394566714,0.0275,25,0.25,0.5,"gam_DC","skew","gam_DCl",0.000459503370151992
"1486",96,"abs_max_d2",-0.6848,25,1,0.0102929317710963,"none",-0.664626224433323,-0.704973775566677,-0.566,-0.738,-0.0427433945667141,0.0275,25,0.25,0.5,"gam_DC","skew","gam_DCl",0.000124607038735292
"1487",96,"abs_max_d2",-0.6848,25,NA,0.0102929317710963,"jack_quant",-0.664626224433323,-0.704973775566677,-0.566,-0.738,-0.0427433945667141,0.0275,25,0.25,0.5,"gam_DC","skew","gam_DCl",0.000124607038735292
"1488",96,"abs_max_d2",-0.6848,25,1,0.0102929317710963,"sim_int",-0.664626224433323,-0.704973775566677,-0.566,-0.738,-0.0427433945667141,0.0275,25,0.25,0.5,"gam_DC","skew","gam_DCl",0.000124607038735292
"1489",97,"abs_max_d2",-0.9904,25,1,0.0353134771251242,"none",-0.921186856665878,-1.05961314333412,-0.638000000000001,-1.164,-0.348343394566714,0.0275,25,0.25,0.5,"gam_DC","skew","gam_DCl",1.34053533190536
