"","sim","thresh_method","thresh_mean","thresh_n","thresh_n_full","thresh_se","sig_type","ci_n_up","ci_n_low","ci_em_up","ci_em_low","thresh_diff","obs_error","ts_length","thresh_quant","cov_sd","shape","best_mod","next_mod","aic_diff"
"47",16,"abs_max_d2",-0.9,25,NA,0.0925787952683191,"jack_quant",-0.718548895541988,-1.08145110445801,0.588,-1.194,-0.257943394566714,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",26.0900006393426
"48",16,"abs_max_d2",-0.9,25,1,0.0925787952683191,"sim_int",-0.718548895541988,-1.08145110445801,0.588,-1.194,-0.257943394566714,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",26.0900006393426
"49",17,"abs_max_d2",-0.5596,25,1,0.00956483722345086,"none",-0.540853263524048,-0.578346736475952,-0.462,-0.62,0.0824566054332859,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",41.1150729602091
"50",17,"abs_max_d2",-0.5596,25,NA,0.00956483722345086,"jack_quant",-0.540853263524048,-0.578346736475952,-0.462,-0.62,0.0824566054332859,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",41.1150729602091
"51",17,"abs_max_d2",-0.5596,25,1,0.00956483722345086,"sim_int",-0.540853263524048,-0.578346736475952,-0.462,-0.62,0.0824566054332859,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",41.1150729602091
"52",18,"abs_max_d2",-1.1052,25,1,0.0587015757880485,"none",-0.990147025619676,-1.22025297438032,-0.488000000000002,-1.2,-0.463143394566714,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",53.2433798588528
"53",18,"abs_max_d2",-1.1052,25,NA,0.0587015757880485,"jack_quant",-0.990147025619676,-1.22025297438032,-0.488000000000002,-1.2,-0.463143394566714,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",53.2433798588528
"54",18,"abs_max_d2",-1.1052,25,1,0.0587015757880485,"sim_int",-0.990147025619676,-1.22025297438032,-0.488000000000002,-1.2,-0.463143394566714,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",53.2433798588528
"55",19,"abs_max_d2",-0.7352,25,1,0.0111199270581141,"none",-0.713405343455384,-0.756994656544616,-0.624,-0.814,-0.0931433945667141,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",44.4922778919126
"56",19,"abs_max_d2",-0.7352,25,NA,0.0111199270581141,"jack_quant",-0.713405343455384,-0.756994656544616,-0.624,-0.814,-0.0931433945667141,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",44.4922778919126
"57",19,"abs_max_d2",-0.7352,25,1,0.0111199270581141,"sim_int",-0.713405343455384,-0.756994656544616,-0.624,-0.814,-0.0931433945667141,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",44.4922778919126
"58",20,"abs_max_d2",0.0221739130434784,23,1,0.0228085503191412,"none",0.0668778502085648,-0.022530024121608,0.1145,-0.2185,0.664230518476764,0.0275,25,0.25,1,"skew","gam_DC_ns","gam_DlC",0.544639903729824
"59",20,"abs_max_d2",0.0221739130434784,23,NA,0.0228085503191412,"jack_quant",0.0668778502085648,-0.022530024121608,0.1145,-0.2185,0.664230518476764,0.0275,25,0.25,1,"skew","gam_DC_ns","gam_DlC",0.544639903729824
"60",20,"abs_max_d2",NA,0,0,NA,"sim_int",NA,NA,NA,NA,NA,0.0275,25,0.25,1,"skew","gam_DC_ns","gam_DlC",0.544639903729824
